command,mean,stddev,median,user,system,min,max
pypy3 ../source/1.py 1000 3000000,0.47424062056,0.02513809218581234,0.47436221926,0.44531294,0.018720639999999993,0.44330274626,0.51910695226
./1 1000 3000000,0.20332329764461543,0.012487448558165628,0.19883171026000002,0.20071674769230766,0.00474752,0.18605140426000003,0.21870525926
./0-unsafe 1000 3000000,0.1279328356446154,0.01086219075075767,0.13408421476000001,0.12546678615384615,0.0048360415384615385,0.10848589626000002,0.13748479626000001
./ikod_orderdict 1000 3000000,0.39637541256000003,0.00666780801044502,0.39935289376000005,0.3926789399999999,0.0030491480000000002,0.38191583026,0.40031591526
./ikod_lru 1000 3000000,0.42458370786,0.011356821619876023,0.41995121226,0.42207884,0.0017292479999999996,0.41036187926,0.44898413826
./memutis 1000 3000000,1.06705682186,0.017428085410568835,1.06099173626,1.06381514,0.00156952,1.0467302682600002,1.0918446912600002
