command,mean,stddev,median,user,system,min,max
pypy3 ../source/py_code.py 5000000 10,0.6001524757000001,0.023295294048421022,0.6098783932,0.5688956,0.01783944,0.5662081427000001,0.6256583847
./cr_array 5000000 10,0.10466405811935482,0.012774781969822223,0.1116841727,0.10424354838709675,0.0029492419354838714,0.0834155557,0.11828096170000002
./cr_hash_old 5000000 10,0.41209807760000006,0.014086041522471525,0.41468623870000004,0.41185389999999994,0.002375664,0.3855828197,0.43155287470000003
./cr_hash 5000000 10,0.3237595912000001,0.012158124772345087,0.32382947070000007,0.3226682,0.0030696459999999997,0.29754450070000005,0.33875741870000003
./d_hash 5000000 10,0.42160833250000007,0.01271274327399291,0.42273322970000005,0.4184369,0.0023404639999999996,0.40493888270000006,0.43680240570000006
./d_array 5000000 10,0.12603825084285716,0.013799549495957316,0.1362504027,0.12339533333333337,0.0025931028571428575,0.10745454570000001,0.1396464457
./d_array2 5000000 10,0.9514482435000001,0.006595358736360549,0.9505262232,1.1056572999999998,0.11720464,0.9420119507000001,0.9626128097000001
