command,mean,stddev,median,user,system,min,max
pypy3 ../source/1.py 1000 1000000,0.40026587465999997,0.03322008573338962,0.38516305576,0.3683234799999999,0.0233083,0.36922644576,0.45382864076
./1 1000 1000000,0.11910051887538463,0.006834470590298233,0.12252102176,0.11671733384615382,0.004523307692307693,0.10508430176,0.12475303176000001
./0-unsafe 1000 1000000,0.0643600252742857,0.01255484694496495,0.06613029376,0.06315003714285712,0.0038968571428571416,0.04103277576,0.08043494476
./ikod_orderdict 1000 1000000,0.14856174337111117,0.010930945361125776,0.15346137776000002,0.14647773555555554,0.002096444444444444,0.12700251876000002,0.15708348076000003
./ikod_lru 1000 1000000,0.15987006694750006,0.011487917971759062,0.16619635376000003,0.15708967999999998,0.0026502499999999994,0.14093449776000003,0.17325362176000003
