command,mean,stddev,median,user,system,min,max
pypy3 ../source/py_code.py 5000000 1000,0.6846675067200001,0.01578178501459626,0.69262649122,0.6490568399999999,0.01916686,0.65453392822,0.70297558222
./cr_array 5000000 1000,2.62940281032,0.012595894538289965,2.6300513407200006,2.62440674,0.0028738319999999998,2.60468998822,2.6456987142200004
./cr_hash_old 5000000 1000,0.42069517142000007,0.00853487707457242,0.42116257322000006,0.41926304,0.003421907999999999,0.39963542622000003,0.43173691722000007
./cr_hash 5000000 1000,0.33451855922,0.01018504752248937,0.33766050672000003,0.33247463999999993,0.003817532,0.3144841862200001,0.34407959322000004
./d_hash 5000000 1000,0.64857880322,0.010769386646550397,0.65397439772,0.6462434399999999,0.0015361320000000002,0.63240691522,0.66442105222
./d_array 5000000 1000,8.66666361082,0.02649953545789856,8.66196047372,8.64637304,0.003979484,8.62971696722,8.70609179022
./d_array2 5000000 1000,5.29524307232,0.06468383592969632,5.312848347719999,6.44136294,0.6700957599999999,5.1803623952199995,5.35916863522
